ANO_MES;ORGAO;NOME_ORGAO;SIGLA_ORGAO;NIVEL;CARGO;NOME_CARGO;APROVADA;DISTRIBUIDA;OCUPADA;VAGA;CLIENTE;TEMA;FONTE;DATA_CARGA;DATA_ACESSO;FORMATO_ORIGEM;PERIODICIDADE;RESPONSAVEL;VERSAO_SCRIPT;AMBIENTE_EXECUCAO
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;N/A;482067;AUX EM TRANSP MARITIMO E FLUVIAL;2;2;2;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;N/A;482079;AUX OPERAC SERV DIVERSOS;25;25;25;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;N/A;482159;TRATORISTA;9;9;9;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;8001;AGENTE ADMINISTRATIVO;3;3;3;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;104001;AGENTE DE INSP SANIT IND PROD ORIGEM ANI;1638;1638;818;820;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;104002;AGENTE DE ATIVIDADES AGROPECUARIAS;593;593;296;297;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;104003;TECNICO DE LABORATORIO;265;265;213;52;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;406003;TECNICO;84;0;0;84;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;407002;ASSISTENTE EM CIENCIA E TECNOLOGIA;100;17;15;85;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;428005;TECNICO AMBIENTAL;2;2;1;1;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;428006;TECNICO ADMINISTRATIVO;7;7;4;3;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;430001;AGENTE ADMINISTRATIVO;2;2;2;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;430098;MOTORISTA OFICIAL;1;0;0;1;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;438002;AGENTE DE ATIV AGROPECUARIAS;425;425;0;425;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;438003;TECNICO DE LABORATORIO;108;39;0;108;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;445100;AGENTE ADMINISTRATIVO;30;16;15;15;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;460012;DATILOGRAFO;2;2;0;2;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481004;AGENTE ADMINISTRATIVO;2235;2190;937;1298;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481006;AGENTE ANALISTA GRAF FIS SUP;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481015;AGENTE DE ATIV MARITIMAS FLUVIAIS;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481017;AGENTE DE CINEFOTO MICROFILMAGEM;6;6;6;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481020;AGENTE DE COMUNICACAO SOCIAL;8;8;8;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481026;AGENTE DE PORTARIA;95;95;95;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481035;AGENTE DE VIGILANCIA;151;151;151;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481036;AGENTE DE HIG SEGURANCA NO TRABALHO;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481041;AGENTE SERVICOS ENGENHARIA;7;7;7;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481042;AGENTE TELEC ELETRICIDADE;25;25;25;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481051;ARTIFICE;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481053;ARTIFICE DE ARTES GRAFICAS;11;11;11;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481054;ARTIF DE CARPINT MARCENARIA;2;2;2;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481056;ARTIF DE ELETRIC E COMUNICACAO;4;4;4;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481060;ARTIFICE DE MECANICA;21;21;21;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481072;ASSISTENTE ADMINISTRATIVO;4;4;4;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481076;ASSISTENTE DE ADMINISTRACAO;2;2;2;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481103;AUXILIAR ADMINISTRATIVO;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481110;AUXILIAR DE ENFERMAGEM;2;2;2;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481116;AUXILIAR DE METEOROLOGIA;112;112;112;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481126;AUX DE SERVICOS GERAIS;4;4;4;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481132;AUX EM ASSUNTOS EDUCACIONAIS;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481138;AUX OPERAC DE SERV DIVERSOS;90;90;90;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481175;DATILOGRAFO;83;83;83;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481177;DESENHISTA;9;9;9;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481200;ESCRITURARIO;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481203;ESPECIALISTA DE NIVEL MEDIO;4;4;4;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481232;LABORATORISTA;3;3;3;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481261;MOTORISTA;2;2;2;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481262;MOTORISTA OFICIAL;84;84;84;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481269;OPERADOR;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481273;OPERADOR DE COMPUTADOR;4;4;4;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481305;PROGRAMADOR;6;6;6;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481315;SECRETARIO;2;2;2;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481327;TECNICO AGRICOLA;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481333;TEC DE COLONIZACAO;14;14;14;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481334;TECNICO DE CONTABILIDADE;140;108;39;101;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481337;TECNICO DE LABORATORIO;46;46;0;46;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481341;TECNICO DE NIVEL MEDIO;5;5;5;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481347;TEC EM AGRICULTURA E PECUARIA;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481357;TECNICO EM ESTRADAS;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481376;TEC EM RECURSOS HIDRICOS;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;481390;TELEFONISTA;3;3;3;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NS;9001;MEDICO;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
